Tweet,Sentiment
#BMO helped me learn how to make a Living Hinge. See it at https://t.co/4N5IBlfq7h  #adventuretime #glowforge https://t.co/3Wt0Wvb9NX,neutral
Dinos last day at Champlain.  Thank you Dino for being a big part of team Champlain and you will always be part o https://t.co/YdCM2eMueF,positive
"Wishing Everyone a Fun Filled Super Hot  Safe Weekend.
Much Love to ALL xo 
 Come on you Reds!
#tfc #bmo https://t.co/R9wb5m7gFV",positive
#BMO analyst says #ShawCor will outperform. $SCL AFI: https://t.co/YfxfUH2Rqp,neutral
Start them young  Come On You Reds #YNWA #BMO  #GoTime #Nervous https://t.co/M6vBsXvsgx,neutral
Warmly Welcoming and thanking the 39th Brigade at ... Solo - A Star Wars Story this Saturday morning.    We are pro https://t.co/GbOjtXZak5,positive
"Pride  night.
#pridenight #PrideNight #torontofc #tfc #toronto #the6ix #soccer #football #rainbow #lgbt #TFCLive https://t.co/zFMAJqgwNx",neutral
@daRealAkinfenwa this game will be incredible as soon as the kick off whistle goes #BMO will be activated #YNWA,positive
Proud of all of ya bring it home guys @LFC #YNWA #BMO #BeastMode https://t.co/nYrw3v61tw,positive
The Most Expensive Homes for Sale in Canada #house #mortgage #Canada #Vancouver #rich #wealthy #RealEstate #ctvnews https://t.co/eAMBKm0EMQ,neutral
